epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,732.328,1.10389,1.13402,1.52806,0.67414,1,0.995,0.70062,1.08618,1.64078,1.91649,0.00119391,0.00119391,0.00119391
45,748.577,1.03163,1.08536,1.48585,0.70486,1,0.995,0.71726,0.89579,1.38182,1.75399,0.0011829,0.0011829,0.0011829
46,765.13,1.1274,1.10697,1.58887,0.71739,1,0.995,0.77319,0.85315,1.3367,1.68098,0.0011719,0.0011719,0.0011719
47,781.597,1.07154,1.12828,1.50301,0.94317,1,0.995,0.74237,0.98755,0.89314,1.79367,0.0011609,0.0011609,0.0011609
48,798.148,1.07573,1.14028,1.55625,0.95379,1,0.995,0.79225,0.88105,0.81986,1.70817,0.0011499,0.0011499,0.0011499
49,815.036,1.08728,1.14049,1.57508,0.61377,1,0.995,0.80547,0.78439,0.98142,1.56671,0.00113889,0.00113889,0.00113889
50,831.614,0.91407,0.99265,1.43181,0.64887,1,0.995,0.82626,0.87538,0.82426,1.67065,0.00112789,0.00112789,0.00112789
51,848.246,0.99711,1.0666,1.50081,0.91086,1,0.995,0.78494,0.98846,0.74966,1.91093,0.00111689,0.00111689,0.00111689
52,864.713,0.98276,1.01831,1.4748,0.94674,1,0.995,0.79805,0.9926,0.70509,1.90801,0.00110589,0.00110589,0.00110589
53,881.229,0.99339,0.98984,1.4567,0.97051,1,0.995,0.74625,1.06504,0.74971,1.94442,0.00109489,0.00109489,0.00109489
54,897.803,0.97868,0.95689,1.46718,0.74393,1,0.995,0.70608,1.26552,1.30021,2.29741,0.00108388,0.00108388,0.00108388
55,1590.53,0.95301,0.98014,1.38293,0.58593,1,0.995,0.61825,1.41013,1.19537,2.49374,0.00107288,0.00107288,0.00107288
56,1607.43,0.95474,0.96306,1.42903,0.62101,1,0.995,0.67177,1.2047,1.28582,2.21275,0.00106188,0.00106188,0.00106188
57,1623.82,0.96275,1.03405,1.46907,0.6976,1,0.995,0.72158,1.06165,1.08483,1.95155,0.00105088,0.00105088,0.00105088
58,1640.19,0.92407,0.97815,1.35582,0.72731,1,0.995,0.71741,0.86833,0.91081,1.72813,0.00103987,0.00103987,0.00103987
59,1656.7,0.89117,0.90742,1.34776,0.65965,1,0.995,0.76075,0.83358,1.42898,1.70093,0.00102887,0.00102887,0.00102887
60,1673.21,0.85695,0.96704,1.37832,0.96695,1,0.995,0.7662,0.8324,0.83102,1.69345,0.00101787,0.00101787,0.00101787
61,1689.52,0.95423,0.96172,1.4348,0.95327,1,0.995,0.75032,0.81388,0.74938,1.66614,0.00100687,0.00100687,0.00100687
62,1706.04,1.03452,0.955,1.44638,0.94582,1,0.995,0.74838,0.86032,0.63083,1.70875,0.000995866,0.000995866,0.000995866
63,1722.45,0.89907,0.87076,1.42955,0.91827,1,0.995,0.81775,0.72154,0.61349,1.56285,0.000984864,0.000984864,0.000984864
64,1738.87,0.87015,0.8152,1.38322,0.95122,1,0.995,0.825,0.76132,0.66639,1.59934,0.000973861,0.000973861,0.000973861
65,1755.21,0.97165,0.94281,1.43065,0.95309,1,0.995,0.69334,1.08934,0.7721,1.93007,0.000962859,0.000962859,0.000962859
66,1771.79,0.9624,0.86532,1.47586,0.9459,1,0.995,0.7294,0.92561,0.67099,1.82586,0.000951857,0.000951857,0.000951857
67,1788.2,0.92051,0.98029,1.48015,0.97972,1,0.995,0.73777,0.90162,0.611,1.78035,0.000940855,0.000940855,0.000940855
68,1804.71,0.97615,0.95304,1.43759,0.96243,1,0.995,0.82166,0.79288,0.5918,1.65165,0.000929853,0.000929853,0.000929853
69,1821.15,0.93265,0.93136,1.44057,0.96056,1,0.995,0.76499,0.82211,0.65059,1.69416,0.00091885,0.00091885,0.00091885
70,1837.63,0.95983,0.94847,1.42819,0.88179,1,0.995,0.75238,0.89589,0.79482,1.74734,0.000907848,0.000907848,0.000907848
71,1854.33,0.8812,0.86325,1.32551,0.84714,1,0.995,0.76087,0.73601,0.7708,1.57712,0.000896846,0.000896846,0.000896846
72,1870.81,0.89686,0.87734,1.41689,0.85377,1,0.995,0.82687,0.75898,0.78854,1.60402,0.000885844,0.000885844,0.000885844
73,1887.57,0.86218,0.8243,1.36213,0.86944,1,0.995,0.82731,0.89125,0.85399,1.73782,0.000874842,0.000874842,0.000874842
74,1904.33,0.91624,0.89133,1.44169,0.96945,1,0.995,0.78622,0.90072,0.76811,1.71513,0.000863839,0.000863839,0.000863839
75,1920.76,0.8839,0.89689,1.35215,0.97033,1,0.995,0.796,0.82637,0.65979,1.6698,0.000852837,0.000852837,0.000852837
76,1937.38,0.86811,0.80086,1.3848,0.94361,1,0.995,0.82394,0.75709,0.54017,1.56257,0.000841835,0.000841835,0.000841835
77,1953.76,0.82488,0.81311,1.3081,0.94802,1,0.995,0.796,0.77199,0.52213,1.60108,0.000830833,0.000830833,0.000830833
78,1970.08,0.8261,0.85406,1.34139,0.93487,1,0.995,0.77578,0.91677,0.62348,1.80556,0.000819831,0.000819831,0.000819831
79,1986.53,0.86125,0.82616,1.34486,0.84385,1,0.995,0.7691,0.93984,0.73958,1.87799,0.000808828,0.000808828,0.000808828
80,2003.06,0.87719,0.88259,1.39605,0.70915,1,0.995,0.78308,0.85568,0.75568,1.73446,0.000797826,0.000797826,0.000797826
81,2019.61,0.88096,0.83774,1.36914,0.93798,1,0.995,0.77744,0.85839,0.69002,1.67858,0.000786824,0.000786824,0.000786824
82,2035.93,0.8916,0.81239,1.41358,0.9498,1,0.995,0.76287,0.85895,0.72317,1.69943,0.000775822,0.000775822,0.000775822
83,2052.43,0.89834,0.84262,1.40624,0.95305,1,0.995,0.77267,0.90681,0.63745,1.71102,0.00076482,0.00076482,0.00076482
84,2069,0.8144,0.71122,1.26263,0.65227,1,0.995,0.79377,0.88643,0.87938,1.70581,0.000753817,0.000753817,0.000753817
85,2085.65,0.83444,0.75728,1.35405,0.82722,1,0.995,0.78206,0.80832,0.71907,1.65654,0.000742815,0.000742815,0.000742815
86,2102.17,0.81196,0.73975,1.29262,0.85561,1,0.995,0.77525,0.76632,0.66817,1.57926,0.000731813,0.000731813,0.000731813
87,2118.73,0.80087,0.71477,1.29732,0.92772,1,0.995,0.77578,0.7692,0.63115,1.58179,0.000720811,0.000720811,0.000720811
88,2135.2,0.92663,0.90907,1.45583,0.90342,1,0.995,0.76566,0.84857,0.64273,1.72148,0.000709809,0.000709809,0.000709809
89,2151.79,0.81983,0.79371,1.31427,0.72033,1,0.995,0.76645,0.85436,0.76065,1.70499,0.000698806,0.000698806,0.000698806
90,2168.39,0.86939,0.79064,1.36959,0.84557,1,0.995,0.77684,0.79065,0.645,1.60183,0.000687804,0.000687804,0.000687804
91,2184.92,0.85301,0.76507,1.3321,0.9336,1,0.995,0.796,0.78183,0.56995,1.58307,0.000676802,0.000676802,0.000676802
92,2201.48,0.8082,0.66214,1.28052,0.96386,1,0.995,0.75207,0.79963,0.63883,1.61034,0.0006658,0.0006658,0.0006658
93,2217.86,0.86189,0.82052,1.3569,0.89716,1,0.995,0.76939,0.95224,0.73831,1.77007,0.000654798,0.000654798,0.000654798
94,2234.26,0.88623,0.83863,1.32729,0.9624,1,0.995,0.74929,0.76469,0.55988,1.55997,0.000643795,0.000643795,0.000643795
95,2250.9,0.8343,0.80286,1.36004,0.97192,1,0.995,0.72762,0.85625,0.70623,1.69277,0.000632793,0.000632793,0.000632793
96,2267.42,0.83753,0.76453,1.34359,0.97372,1,0.995,0.71644,0.92114,0.70493,1.76614,0.000621791,0.000621791,0.000621791
97,2283.92,0.87312,0.76845,1.38548,0.96094,1,0.995,0.86544,0.73334,0.51848,1.50923,0.000610789,0.000610789,0.000610789
98,2300.67,0.8082,0.72515,1.29008,0.98359,1,0.995,0.8352,0.75548,0.54708,1.54309,0.000599787,0.000599787,0.000599787
99,2317.07,0.74139,0.70065,1.25113,0.97092,1,0.995,0.79991,0.74682,0.57319,1.60192,0.000588784,0.000588784,0.000588784
100,2333.6,0.81319,0.89037,1.27582,0.97162,1,0.995,0.78175,0.79245,0.58787,1.6638,0.000577782,0.000577782,0.000577782
101,2350.1,0.85968,0.80212,1.36181,0.9796,1,0.995,0.84087,0.76822,0.54602,1.62969,0.00056678,0.00056678,0.00056678
102,2366.66,0.85768,0.78164,1.34229,0.94228,1,0.995,0.8655,0.74729,0.56492,1.59242,0.000555778,0.000555778,0.000555778
103,2383.52,0.79326,0.73566,1.2956,0.92472,1,0.995,0.84175,0.79743,0.60871,1.61859,0.000544776,0.000544776,0.000544776
104,2400,0.77603,0.71697,1.26362,0.94779,1,0.995,0.84175,0.83691,0.62561,1.70048,0.000533773,0.000533773,0.000533773
105,2416.62,0.85279,0.75485,1.37451,0.97071,1,0.995,0.78875,0.80806,0.61333,1.66352,0.000522771,0.000522771,0.000522771
106,2433.1,0.7364,0.69539,1.25203,0.97914,1,0.995,0.79919,0.77455,0.58757,1.59392,0.000511769,0.000511769,0.000511769
107,2449.51,0.79326,0.69219,1.2986,0.98255,1,0.995,0.86237,0.72189,0.54267,1.53711,0.000500767,0.000500767,0.000500767
108,2466.12,0.78568,0.67697,1.29452,0.97759,1,0.995,0.87406,0.6792,0.48947,1.46537,0.000489765,0.000489765,0.000489765
109,2482.88,0.7136,0.64698,1.1909,0.97551,1,0.995,0.8395,0.72239,0.4832,1.51155,0.000478762,0.000478762,0.000478762
110,2499.16,0.80236,0.71696,1.29076,0.95967,1,0.995,0.83829,0.73123,0.48058,1.5213,0.00046776,0.00046776,0.00046776
111,2515.45,0.69221,0.62607,1.22227,0.94775,1,0.995,0.8291,0.74838,0.52769,1.54941,0.000456758,0.000456758,0.000456758
112,2531.89,0.76996,0.66566,1.25411,0.95178,1,0.995,0.8136,0.77958,0.52712,1.61612,0.000445756,0.000445756,0.000445756
113,2548.37,0.76424,0.73292,1.31357,0.97703,1,0.995,0.83391,0.69089,0.50501,1.50188,0.000434754,0.000434754,0.000434754
114,2564.61,0.73442,0.63416,1.30119,0.98035,1,0.995,0.84323,0.65588,0.49256,1.4618,0.000423751,0.000423751,0.000423751
115,2581.09,0.67462,0.68249,1.19651,0.96823,1,0.995,0.79081,0.73464,0.55273,1.56798,0.000412749,0.000412749,0.000412749
116,2597.51,0.73487,0.64423,1.29984,0.94077,1,0.995,0.77737,0.81765,0.61767,1.67894,0.000401747,0.000401747,0.000401747
117,2613.99,0.76013,0.67912,1.30792,0.84531,0.86382,0.995,0.80742,0.82547,0.68039,1.68254,0.000390745,0.000390745,0.000390745
118,2630.21,0.78066,0.68962,1.32822,0.70721,1,0.995,0.83325,0.76983,0.68614,1.59038,0.000379743,0.000379743,0.000379743
119,2646.65,0.76638,0.69813,1.23788,0.95137,1,0.995,0.845,0.71653,0.55387,1.48711,0.00036874,0.00036874,0.00036874
120,2663.14,0.79454,0.62449,1.28848,0.96584,1,0.995,0.8531,0.70476,0.53078,1.48472,0.000357738,0.000357738,0.000357738
121,2679.59,0.73294,0.6392,1.28977,0.97294,1,0.995,0.83648,0.6663,0.56357,1.46518,0.000346736,0.000346736,0.000346736
122,2695.95,0.75522,0.63777,1.30471,0.971,1,0.995,0.83648,0.67166,0.54769,1.46757,0.000335734,0.000335734,0.000335734
123,2712.44,0.73796,0.63646,1.25402,0.96694,1,0.995,0.83023,0.69293,0.47799,1.47686,0.000324732,0.000324732,0.000324732
124,2728.95,0.7108,0.62091,1.21724,0.97139,1,0.995,0.8395,0.72115,0.47322,1.5093,0.000313729,0.000313729,0.000313729
125,2745.35,0.71789,0.67301,1.24667,0.97434,1,0.995,0.8395,0.72409,0.43682,1.49114,0.000302727,0.000302727,0.000302727
126,2761.91,0.75349,0.67927,1.27391,0.97212,1,0.995,0.82094,0.73462,0.42195,1.49756,0.000291725,0.000291725,0.000291725
127,2778.58,0.71257,0.61744,1.26637,0.97609,1,0.995,0.81475,0.73245,0.44139,1.48505,0.000280723,0.000280723,0.000280723
128,2795.06,0.69391,0.58492,1.24146,0.97587,1,0.995,0.8395,0.73176,0.48,1.48114,0.000269721,0.000269721,0.000269721
129,2811.76,0.71844,0.60191,1.22301,0.98107,1,0.995,0.81262,0.77347,0.53229,1.52167,0.000258718,0.000258718,0.000258718
130,2828.43,0.70467,0.67582,1.27003,0.98016,1,0.995,0.8395,0.7288,0.51705,1.47341,0.000247716,0.000247716,0.000247716
131,2844.82,0.69305,0.56474,1.2279,0.98168,1,0.995,0.84573,0.69133,0.45257,1.44215,0.000236714,0.000236714,0.000236714
132,2861.35,0.67218,0.56479,1.23832,0.98342,1,0.995,0.84573,0.68768,0.40951,1.44363,0.000225712,0.000225712,0.000225712
133,2877.74,0.67643,0.60159,1.22493,0.9787,1,0.995,0.86335,0.69653,0.40257,1.46074,0.00021471,0.00021471,0.00021471
134,2894.33,0.71107,0.59516,1.29776,0.9631,1,0.995,0.84573,0.72136,0.4323,1.50584,0.000203707,0.000203707,0.000203707
135,2910.72,0.69685,0.58148,1.20047,0.97359,1,0.995,0.84573,0.71027,0.4023,1.49212,0.000192705,0.000192705,0.000192705
136,2927.32,0.65438,0.55365,1.16805,0.97682,1,0.995,0.84573,0.71804,0.41611,1.55216,0.000181703,0.000181703,0.000181703
137,2943.81,0.65639,0.5363,1.19791,0.98008,1,0.995,0.8686,0.72972,0.44968,1.59188,0.000170701,0.000170701,0.000170701
138,2960.37,0.6494,0.60478,1.20924,0.9815,1,0.995,0.8686,0.73729,0.45539,1.60279,0.000159699,0.000159699,0.000159699
139,2976.82,0.61178,0.58994,1.19613,0.98325,1,0.995,0.8686,0.72676,0.45542,1.57229,0.000148696,0.000148696,0.000148696
